dataset,item,difficulty,SE
cdm_ecpe,X10,-0.871711817,0.056488124
cdm_ecpe,X11,0.133624006,0.046843365
cdm_ecpe,X12,-0.732175986,0.054691181
cdm_ecpe,X13,1.501998258,0.043522933
cdm_ecpe,X14,-0.162360441,0.04894256
cdm_ecpe,X15,0.599552524,0.044598217
cdm_ecpe,X16,-0.576465224,0.052876707
cdm_ecpe,X17,1.114303866,0.043478437
cdm_ecpe,X18,0.663873489,0.044382811
cdm_ecpe,X19,0.182124418,0.046551273
cdm_ecpe,X20,1.577943701,0.04362018
cdm_ecpe,X21,-0.641381409,0.053609471
cdm_ecpe,X22,0.878854809,0.043820994
cdm_ecpe,X23,0.163226727,0.046663405
cdm_ecpe,X24,-1.309223292,0.063284314
cdm_ecpe,X25,-0.947117371,0.057529983
cdm_ecpe,X26,0.067130893,0.047266985
cdm_ecpe,X27,-1.446409577,0.065817107
cdm_ecpe,X28,0.184217908,0.046538982
cdm_hr,X1,-2.040785956,0.061813334
cdm_hr,X2,0.048968109,0.054995237
cdm_hr,X3,2.910955727,0.072987364
cdm_hr,X4,-0.173419145,0.054952134
cdm_hr,X5,-1.974542205,0.061332652
cdm_hr,X6,-0.756410323,0.055681236
cdm_hr,X7,-3.704256956,0.081033898
cdm_hr,X8,-2.561883682,0.066289718
cdm_hr,X9,-0.263346653,0.054984926
cdm_hr,X10,1.988059587,0.06325647
cdm_hr,X11,-0.673985761,0.055503601
cdm_hr,X12,-1.564310544,0.058771567
cdm_hr,X13,4.458681037,0.10092413
cdm_hr,X14,-2.010539629,0.061591478
cdm_hr,X15,-0.775888955,0.055726843
cdm_hr,X16,-0.315479217,0.055017186
cdm_hr,X17,-0.539323339,0.055266529
cdm_hr,X18,1.314584219,0.058693006
cdm_hr,X19,-0.410472699,0.055101009
cdm_hr,X20,0.940910414,0.056971094
cdm_hr,X21,1.137955071,0.057810388
cdm_hr,X22,2.151112831,0.064665609
cdm_hr,X23,-2.33752034,0.064207284
cdm_hr,X24,2.245922159,0.065543097
cdm_hr,X25,-0.234935388,0.054971441
cdm_hr,X26,0.339527836,0.055318964
cdm_hr,X27,-0.05990627,0.05495203
cdm_hr,X28,1.962649634,0.063048028
cdm_hr,X29,1.212198486,0.058166176
cdm_hr,X30,-2.492282722,0.065617795
cdm_hr,X31,-0.587277866,0.05534342
cdm_hr,X32,2.052377695,0.063797432
cdm_hr,X33,1.303713215,0.058635061
cdm_hr,X34,-1.133567821,0.056814127
cdm_hr,X35,0.542519452,0.055726703
cdm_pisa00R,X1,-0.222974092,0.081569716
cdm_pisa00R,X2,0.16749658,0.080154723
cdm_pisa00R,X3,0.997987906,0.083745781
cdm_pisa00R,X4,-0.855363251,0.088318347
cdm_pisa00R,X5,0.004880493,0.080506173
cdm_pisa00R,X6,-0.789415807,0.087327281
cdm_pisa00R,X7,0.054243512,0.080363956
cdm_pisa00R,X8,1.293187835,0.087451124
cdm_pisa00R,X9,0.533490118,0.080596055
cdm_pisa00R,X10,-0.242672647,0.081693624
cdm_pisa00R,X11,-0.322262933,0.082247351
cdm_pisa00R,X12,0.008685647,0.080494104
cdm_pisa00R,X13,-1.173863647,0.094203816
cdm_pisa00R,X14,-1.113569154,0.09294127
cdm_pisa00R,X15,-0.427945388,0.083116777
cdm_pisa00R,X16,-0.689149147,0.085957628
cdm_pisa00R,X17,-0.684680108,0.085900326
cdm_pisa00R,X18,0.156201146,0.080168289
cdm_pisa00R,X19,0.730721246,0.08156208
cdm_pisa00R,X20,0.8743336,0.082605318
cdm_pisa00R,X21,-0.362588079,0.082560814
cdm_pisa00R,X22,0.438537135,0.080315865
cdm_pisa00R,X23,1.624719032,0.093487728
cdm_timss03,X1,-0.239651412,0.092744326
cdm_timss03,X2,-0.887950572,0.099047159
cdm_timss03,X3,0.275451434,0.091991449
cdm_timss03,X4,-0.167713274,0.092425407
cdm_timss03,X5,-0.221611534,0.092657658
cdm_timss03,X6,-1.48425668,0.111342644
cdm_timss03,X7,-1.002830465,0.100875341
cdm_timss03,X8,-0.522797779,0.094709327
cdm_timss03,X9,-1.274854324,0.106196052
cdm_timss03,X10,0.792656245,0.09477516
cdm_timss03,X11,-0.638221803,0.095850346
cdm_timss03,X12,0.122136721,0.091847825
cdm_timss03,X13,0.234100884,0.091922354
cdm_timss03,X14,0.151579485,0.091851478
cdm_timss03,X15,-0.239651412,0.092744326
cdm_timss03,X16,-0.281906306,0.092965016
cdm_timss03,X17,0.287281751,0.092015342
cdm_timss03,X18,0.7799605,0.094663187
cdm_timss03,X19,1.489159401,0.104680516
cdm_timss03,X20,2.0490657,0.119066261
cdm_timss03,X21,1.356640132,0.102184592
cdm_timss03,X22,-0.804786465,0.097867704
cdm_timss03,X23,0.228199773,0.091914321
cdm_timss07,X1,0.015371169,0.096204391
cdm_timss07,X2,-0.767678059,0.099092414
cdm_timss07,X3,-0.975734766,0.101454837
cdm_timss07,X4,-0.363378931,0.096451883
cdm_timss07,X5,-0.727303598,0.098715125
cdm_timss07,X6,-0.236810367,0.09613245
cdm_timss07,X7,-0.407946515,0.096621161
cdm_timss07,X8,2.830891754,0.183270062
cdm_timss07,X9,3.929792972,0.303455447
cdm_timss07,X10,-1.682437566,0.115333264
cdm_timss07,X11,-0.891141471,0.100408527
cdm_timss07,X12,-1.517246206,0.15098513
cdm_timss07,X13,0.87404743,0.143733431
cdm_timss07,X14,2.288282226,0.21351917
cdm_timss07,X15,0.858523369,0.143346176
cdm_timss07,X16,0.454063098,0.135456354
cdm_timss07,X17,-0.743563828,0.134132692
cdm_timss07,X18,-0.343528519,0.131071733
cdm_timss07,X19,-0.878643913,0.135985585
cdm_timss07,X20,-0.961899852,0.137343209
cdm_timss07,X21,-0.255227027,0.13086999
cdm_timss07,X22,0.44045552,0.135261172
cdm_timss07,X23,-0.167093388,0.13083719
cdm_timss07,X24,-1.350503163,0.145999928
cdm_timss07,X25,0.57870963,0.137451014
chess_lnirt,X1,-3.020901441,0.311639245
chess_lnirt,X2,0.432970204,0.165035312
chess_lnirt,X3,-0.635810369,0.1658077
chess_lnirt,X4,0.974549302,0.175971871
chess_lnirt,X5,0.092314181,0.162238564
chess_lnirt,X6,0.556672888,0.166793523
chess_lnirt,X7,2.372280367,0.258901416
chess_lnirt,X8,1.350360515,0.189162434
chess_lnirt,X9,0.432970204,0.165035312
chess_lnirt,X10,1.697408327,0.206464306
chess_lnirt,X11,2.147433259,0.238194032
chess_lnirt,X12,-2.949726401,0.302268356
chess_lnirt,X13,1.187651479,0.182812292
chess_lnirt,X14,-2.547710642,0.257421994
chess_lnirt,X15,0.380852338,0.164416131
chess_lnirt,X16,-1.146722047,0.176541918
chess_lnirt,X17,1.143416263,0.181259972
chess_lnirt,X18,1.350360515,0.189162434
chess_lnirt,X19,1.582798126,0.20013861
chess_lnirt,X20,1.475677961,0.194785594
chess_lnirt,X21,1.036486846,0.177797261
chess_lnirt,X22,2.475645627,0.269693009
chess_lnirt,X23,-2.760090232,0.2794914
chess_lnirt,X24,2.860113757,0.317990023
chess_lnirt,X25,-4.090853914,0.524181368
chess_lnirt,X26,-2.135349329,0.223390124
chess_lnirt,X27,-2.208234899,0.228648962
chess_lnirt,X28,-1.36191516,0.183446291
chess_lnirt,X29,-0.275200406,0.162419147
chess_lnirt,X30,1.639071133,0.203164585
chess_lnirt,X31,1.475677961,0.194785594
chess_lnirt,X32,0.380852338,0.164416131
chess_lnirt,X33,1.143416263,0.181259972
chess_lnirt,X34,-1.146722047,0.176541918
chess_lnirt,X35,0.874488162,0.17328954
chess_lnirt,X36,-2.409721708,0.244828598
chess_lnirt,X37,-1.045691303,0.173817314
chess_lnirt,X38,-0.928988612,0.171054186
chess_lnirt,X39,-0.275200406,0.162419147
chess_lnirt,X40,-0.1246291,0.16195028
CPDMMC_Kunnari_2020_PDP,X1,2.436537704,0.079202062
CPDMMC_Kunnari_2020_PDP,X2,4.48409698,0.126682504
CPDMMC_Kunnari_2020_PDP,X3,-0.381485473,0.075970902
CPDMMC_Kunnari_2020_PDP,X4,2.240652011,0.077023981
CPDMMC_Kunnari_2020_PDP,X5,-2.073546614,0.105305574
CPDMMC_Kunnari_2020_PDP,X6,0.452929441,0.07084876
CPDMMC_Kunnari_2020_PDP,X7,-2.225098073,0.109521606
CPDMMC_Kunnari_2020_PDP,X8,2.465528624,0.079552688
CPDMMC_Kunnari_2020_PDP,X9,-4.112746512,0.19635233
CPDMMC_Kunnari_2020_PDP,X10,-3.013412313,0.13713305
CPDMMC_Kunnari_2020_PDP,X11,-4.065344373,0.193174421
CPDMMC_Kunnari_2020_PDP,X12,-1.258985286,0.08753204
CPDMMC_Kunnari_2020_PDP,X13,-0.627433083,0.078523377
CPDMMC_Kunnari_2020_PDP,X14,1.460085355,0.071423532
CPDMMC_Kunnari_2020_PDP,X15,-0.461566804,0.076746911
CPDMMC_Kunnari_2020_PDP,X16,1.186664887,0.070548112
CPDMMC_Kunnari_2020_PDP,X17,-0.232501042,0.074664884
CPDMMC_Kunnari_2020_PDP,X18,3.725624571,0.102936244
criticalperiod_syntax,X1,-0.285232503,0.076283174
criticalperiod_syntax,X2,-2.873485884,0.290083429
criticalperiod_syntax,X3,-2.560629729,0.244216209
criticalperiod_syntax,X4,-0.164255855,0.072358304
criticalperiod_syntax,X5,1.968614714,0.038588922
criticalperiod_syntax,X6,0.313954543,0.059647309
criticalperiod_syntax,X7,-1.051818447,0.109746263
criticalperiod_syntax,X8,0.687390283,0.052309967
criticalperiod_syntax,X9,1.467032282,0.042300762
criticalperiod_syntax,X10,-1.908498489,0.171431293
criticalperiod_syntax,X11,-1.031101327,0.108613941
criticalperiod_syntax,X12,-1.083745843,0.111519789
criticalperiod_syntax,X13,-0.971464956,0.105434048
criticalperiod_syntax,X14,-1.858035826,0.166865134
criticalperiod_syntax,X15,-0.509140849,0.084426616
criticalperiod_syntax,X16,-1.742735138,0.156925608
criticalperiod_syntax,X17,-1.479847738,0.136641353
criticalperiod_syntax,X18,-1.198484738,0.11818736
criticalperiod_syntax,X19,-0.915250169,0.102542189
criticalperiod_syntax,X20,-0.62501326,0.089128439
criticalperiod_syntax,X21,-0.771408013,0.095587935
criticalperiod_syntax,X22,1.683518792,0.040484455
criticalperiod_syntax,X23,-0.377742963,0.079503885
criticalperiod_syntax,X24,1.380057553,0.043132381
criticalperiod_syntax,X25,0.71120912,0.051906548
criticalperiod_syntax,X26,1.225423641,0.044768587
criticalperiod_syntax,X27,-1.513184369,0.139041648
criticalperiod_syntax,X28,1.881177175,0.039114445
criticalperiod_syntax,X29,0.284479603,0.060314685
criticalperiod_syntax,X30,-0.173099275,0.072634608
criticalperiod_syntax,X31,0.381943391,0.058160127
criticalperiod_syntax,X32,-0.182014633,0.072914821
criticalperiod_syntax,X33,-2.288352476,0.210468137
criticalperiod_syntax,X34,-1.094626001,0.112132154
criticalperiod_syntax,X35,-0.853477527,0.099478883
criticalperiod_syntax,X36,-1.463611372,0.135489498
criticalperiod_syntax,X37,0.665374459,0.052689255
criticalperiod_syntax,X38,1.27845717,0.04418383
criticalperiod_syntax,X39,1.252897398,0.044462502
criticalperiod_syntax,X40,-0.410464328,0.080690682
criticalperiod_syntax,X41,-0.091820159,0.070155851
criticalperiod_syntax,X42,0.578304588,0.054251252
criticalperiod_syntax,X43,1.028151278,0.047176076
criticalperiod_syntax,X44,-0.485068302,0.08349305
criticalperiod_syntax,X45,0.832518594,0.049960003
criticalperiod_syntax,X46,1.273973266,0.044232297
criticalperiod_syntax,X47,-1.020905641,0.108061965
criticalperiod_syntax,X48,1.843793537,0.039353813
criticalperiod_syntax,X49,-2.560629729,0.244216209
criticalperiod_syntax,X50,0.957247307,0.048136917
criticalperiod_syntax,X51,-0.65967401,0.090604011
criticalperiod_syntax,X52,-0.591492485,0.087732127
criticalperiod_syntax,X53,-3.236808247,0.3546853
criticalperiod_syntax,X54,-0.591492485,0.087732127
criticalperiod_syntax,X55,-1.261427834,0.122047882
criticalperiod_syntax,X56,0.492732364,0.055886619
criticalperiod_syntax,X57,-0.256091885,0.075308698
criticalperiod_syntax,X58,0.882905527,0.04920252
criticalperiod_syntax,X59,-1.328806645,0.126346857
criticalperiod_syntax,X60,-0.521390095,0.084907262
criticalperiod_syntax,X61,1.364457387,0.043288111
criticalperiod_syntax,X62,0.892401619,0.049062993
criticalperiod_syntax,X63,1.282929841,0.044135662
criticalperiod_syntax,X64,-0.942955711,0.10395484
criticalperiod_syntax,X65,0.852102907,0.049662129
criticalperiod_syntax,X66,1.16435467,0.04547382
criticalperiod_syntax,X67,0.613348891,0.0536105
criticalperiod_syntax,X68,0.029276341,0.066706657
criticalperiod_syntax,X69,-0.432858011,0.081517628
criticalperiod_syntax,X70,0.67642642,0.052498077
criticalperiod_syntax,X71,-1.530306093,0.140293116
criticalperiod_syntax,X72,0.960870577,0.048086524
criticalperiod_syntax,X73,-0.853477527,0.099478883
criticalperiod_syntax,X74,0.44380438,0.056868353
criticalperiod_syntax,X75,0.998410193,0.047572665
criticalperiod_syntax,X76,1.587605175,0.041246249
criticalperiod_syntax,X77,0.525172393,0.055254632
criticalperiod_syntax,X78,1.092686392,0.046346646
criticalperiod_syntax,X79,1.885672593,0.039086261
criticalperiod_syntax,X80,0.5735617,0.054339244
criticalperiod_syntax,X81,0.909344021,0.048816563
criticalperiod_syntax,X82,1.922475399,0.038860309
criticalperiod_syntax,X83,1.58378159,0.041278002
criticalperiod_syntax,X84,-0.34600425,0.078376767
criticalperiod_syntax,X85,0.929795583,0.048523329
criticalperiod_syntax,X86,0.651993307,0.052922829
criticalperiod_syntax,X87,0.899955239,0.048952729
criticalperiod_syntax,X88,0.191487978,0.062513383
criticalperiod_syntax,X89,-0.862069577,0.099897927
criticalperiod_syntax,X90,1.656535518,0.040692107
criticalperiod_syntax,X91,0.64299907,0.053081132
criticalperiod_syntax,X92,-0.725216922,0.093484754
criticalperiod_syntax,X93,-0.079514307,0.069792255
criticalperiod_syntax,X94,-0.351228501,0.078560683
criticalperiod_syntax,X95,0.713354352,0.051870564
DART_Brysbaert_2020_1,X1,-0.349068686,0.208732205
DART_Brysbaert_2020_1,X2,-1.459775911,0.200801032
DART_Brysbaert_2020_1,X3,1.38065445,0.343469511
DART_Brysbaert_2020_1,X4,-0.150213824,0.215076883
DART_Brysbaert_2020_1,X5,-2.193919133,0.22441341
DART_Brysbaert_2020_1,X6,0.642086662,0.259334613
DART_Brysbaert_2020_1,X7,-1.421599994,0.200283218
DART_Brysbaert_2020_1,X8,0.929913758,0.285700936
DART_Brysbaert_2020_1,X9,-2.475691354,0.241889031
DART_Brysbaert_2020_1,X10,-0.57449221,0.203403124
DART_Brysbaert_2020_1,X11,-0.749339073,0.200570814
DART_Brysbaert_2020_1,X12,-1.635736747,0.204009361
DART_Brysbaert_2020_1,X13,-0.730224115,0.200825945
DART_Brysbaert_2020_1,X14,0.228215515,0.231938757
DART_Brysbaert_2020_1,X15,-0.262628891,0.211294245
DART_Brysbaert_2020_1,X16,-0.633539223,0.202321165
DART_Brysbaert_2020_1,X17,0.502063149,0.248836094
DART_Brysbaert_2020_1,X18,0.28512957,0.235091054
DART_Brysbaert_2020_1,X19,-2.193919133,0.22441341
DART_Brysbaert_2020_1,X20,0.535782981,0.251239601
DART_Brysbaert_2020_1,X21,0.042418326,0.222817397
DART_Brysbaert_2020_1,X22,0.228215515,0.231938757
DART_Brysbaert_2020_1,X23,0.436876953,0.244401698
DART_Brysbaert_2020_1,X24,-2.069702904,0.218368201
DART_Brysbaert_2020_1,X25,0.200460235,0.230464737
DART_Brysbaert_2020_1,X26,1.188868372,0.316062745
DART_Brysbaert_2020_1,X27,0.502063149,0.248836094
DART_Brysbaert_2020_1,X28,0.067840418,0.223964997
DART_Brysbaert_2020_1,X29,0.642086662,0.259334613
DART_Brysbaert_2020_1,X30,-0.69178413,0.201379436
DART_Brysbaert_2020_1,X31,1.132012043,0.308784344
DART_Brysbaert_2020_1,X32,1.188868372,0.316062745
DART_Brysbaert_2020_1,X33,0.977178576,0.290730866
DART_Brysbaert_2020_1,X34,0.977178576,0.290730866
DART_Brysbaert_2020_1,X35,-0.806309693,0.199889579
DART_Brysbaert_2020_1,X36,-0.653037627,0.201992057
DART_Brysbaert_2020_1,X37,1.077981386,0.302199213
DART_Brysbaert_2020_1,X38,0.535782981,0.251239601
DART_Brysbaert_2020_1,X39,-0.240560136,0.211996049
DART_Brysbaert_2020_1,X40,0.535782981,0.251239601
DART_Brysbaert_2020_1,X41,0.884471155,0.281063492
DART_Brysbaert_2020_1,X42,0.017325588,0.22171446
DART_Brysbaert_2020_1,X43,-1.104284676,0.198272155
DART_Brysbaert_2020_1,X44,-0.633539223,0.202321165
DART_Brysbaert_2020_1,X45,0.840683921,0.276772491
DART_Brysbaert_2020_1,X46,0.570321215,0.253781835
DART_Brysbaert_2020_1,X47,-3.011843168,0.292443606
DART_Brysbaert_2020_1,X48,-0.787378117,0.200102804
DART_Brysbaert_2020_1,X49,0.067840418,0.223964997
DART_Brysbaert_2020_1,X50,0.14624013,0.227700877
DART_Brysbaert_2020_1,X51,0.119734592,0.226404016
DART_Brysbaert_2020_1,X52,-0.150213824,0.215076883
DART_Brysbaert_2020_1,X53,-0.306201234,0.209965877
DART_Brysbaert_2020_1,X54,0.228215515,0.231938757
DART_Brysbaert_2020_1,X55,-3.501721563,0.363479421
DART_Brysbaert_2020_1,X56,-1.758194087,0.207082754
DART_Brysbaert_2020_1,X57,0.173142124,0.229053332
DART_Brysbaert_2020_1,X58,-0.262628891,0.211294245
DART_Brysbaert_2020_1,X59,0.717893557,0.265617043
DART_Brysbaert_2020_1,X60,0.469110118,0.246560117
DART_Brysbaert_2020_1,X61,0.679446892,0.262375653
DART_Brysbaert_2020_1,X62,1.713149415,0.403122289
DART_Brysbaert_2020_1,X63,0.757514151,0.269080012
DART_Brysbaert_2020_1,X64,0.884471155,0.281063492
DART_Brysbaert_2020_1,X65,0.228215515,0.231938757
DART_Brysbaert_2020_1,X66,-0.370255268,0.208148965
DART_Brysbaert_2020_1,X67,0.977178576,0.290730866
DART_Brysbaert_2020_1,X68,0.929913758,0.285700936
DART_Brysbaert_2020_1,X69,1.077981386,0.302199213
DART_Brysbaert_2020_1,X70,-0.993253806,0.198489808
DART_Brysbaert_2020_1,X71,1.939015871,0.454277915
DART_Brysbaert_2020_1,X72,0.605734772,0.256475413
DART_Brysbaert_2020_1,X73,-0.749339073,0.200570814
DART_Brysbaert_2020_1,X74,1.132012043,0.308784344
DART_Brysbaert_2020_1,X75,0.717893557,0.265617043
DART_Brysbaert_2020_1,X76,0.093607105,0.225159667
DART_Brysbaert_2020_1,X77,0.173142124,0.229053332
DART_Brysbaert_2020_1,X78,0.798407144,0.272789036
DART_Brysbaert_2020_1,X79,-3.501721563,0.363479421
DART_Brysbaert_2020_1,X80,0.642086662,0.259334613
DART_Brysbaert_2020_1,X81,-0.262628891,0.211294245
DART_Brysbaert_2020_1,X82,0.502063149,0.248836094
DART_Brysbaert_2020_1,X83,0.757514151,0.269080012
DART_Brysbaert_2020_1,X84,0.798407144,0.272789036
DART_Brysbaert_2020_1,X85,0.884471155,0.281063492
DART_Brysbaert_2020_1,X86,-0.730224115,0.200825945
DART_Brysbaert_2020_1,X87,0.798407144,0.272789036
DART_Brysbaert_2020_1,X88,0.929913758,0.285700936
DART_Brysbaert_2020_1,X89,0.717893557,0.265617043
DART_Brysbaert_2020_1,X90,0.200460235,0.230464737
DART_Brysbaert_2020_1,X91,-0.4535014,0.206024469
DART_Brysbaert_2020_1,X92,0.173142124,0.229053332
DART_Brysbaert_2020_1,X93,-1.421599994,0.200283218
DART_Brysbaert_2020_1,X94,0.679446892,0.262375653
DART_Brysbaert_2020_1,X95,0.535782981,0.251239601
DART_Brysbaert_2020_1,X96,-0.711040437,0.201095415
DART_Brysbaert_2020_1,X97,0.929913758,0.285700936
DART_Brysbaert_2020_1,X98,-3.169313303,0.31239554
DART_Brysbaert_2020_1,X99,0.977178576,0.290730866
DART_Brysbaert_2020_1,X100,0.929913758,0.285700936
DART_Brysbaert_2020_1,X101,0.37440258,0.240402816
DART_Brysbaert_2020_1,X102,0.929913758,0.285700936
DART_Brysbaert_2020_1,X103,-2.475691354,0.241889031
DART_Brysbaert_2020_1,X104,1.077981386,0.302199213
DART_Brysbaert_2020_1,X105,1.132012043,0.308784344
DART_Brysbaert_2020_1,X106,0.798407144,0.272789036
DART_Brysbaert_2020_1,X107,0.642086662,0.259334613
DART_Brysbaert_2020_1,X108,0.200460235,0.230464737
DART_Brysbaert_2020_1,X109,0.929913758,0.285700936
DART_Brysbaert_2020_1,X110,-0.080027317,0.217707276
DART_Brysbaert_2020_1,X111,0.067840418,0.223964997
DART_Brysbaert_2020_1,X112,0.679446892,0.262375653
DART_Brysbaert_2020_1,X113,-2.219881745,0.225798711
DART_Brysbaert_2020_1,X114,-1.067306076,0.198293162
DART_Brysbaert_2020_1,X115,0.798407144,0.272789036
DART_Brysbaert_2020_1,X116,-0.370255268,0.208148965
DART_Brysbaert_2020_1,X117,-0.218292636,0.21272417
DART_Brysbaert_2020_1,X118,-1.252514628,0.198714263
DART_Brysbaert_2020_1,X119,0.344086239,0.238547181
DART_Brysbaert_2020_1,X120,-0.554611121,0.203796396
DART_Brysbaert_2020_1,X121,0.679446892,0.262375653
DART_Brysbaert_2020_1,X122,-0.031928468,0.219633846
DART_Brysbaert_2020_1,X123,-2.328181467,0.232055391
DART_Brysbaert_2020_1,X124,1.532465491,0.368626013
DART_Brysbaert_2020_1,X125,0.344086239,0.238547181
DART_Brysbaert_2020_1,X126,-0.349068686,0.208732205
DART_Brysbaert_2020_1,X127,0.717893557,0.265617043
DART_Brysbaert_2020_1,X128,-0.327719567,0.209337599
DART_Brysbaert_2020_1,X129,-0.195818197,0.213479618
DART_Brysbaert_2020_1,X130,-0.103673473,0.216797412
DART_Brysbaert_2020_1,X131,0.929913758,0.285700936
DART_Brysbaert_2020_1,X132,0.929913758,0.285700936
dd_rotation,X1,0.348247613,0.334403529
dd_rotation,X2,-0.309905553,0.421714728
dd_rotation,X3,0.230072767,0.347589521
dd_rotation,X4,0.811834547,0.301121561
dd_rotation,X5,-0.425692283,0.439295738
dd_rotation,X6,0.044903754,0.370323952
dd_rotation,X7,-0.11785083,0.392398923
dd_rotation,X8,-1.002443522,0.571098789
dd_rotation,X9,0.108931052,0.362989594
dd_rotation,X10,0.311902456,0.348582488
difNLR_msatb,X1,-0.509620413,0.067217546
difNLR_msatb,X2,-1.434137357,0.078364835
difNLR_msatb,X3,1.474373613,0.070621816
difNLR_msatb,X4,1.517117881,0.071090838
difNLR_msatb,X5,0.978364849,0.066494228
difNLR_msatb,X6,-0.184555993,0.065403558
difNLR_msatb,X7,1.685917021,0.073131458
difNLR_msatb,X8,2.090944647,0.079347671
difNLR_msatb,X9,-0.675582569,0.068531524
difNLR_msatb,X10,0.8976328,0.066039857
difNLR_msatb,X11,-0.528555779,0.067353805
